----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                Marker lineage            # genomes   # markers   # marker sets    0     1    2   3   4   5+   Completeness   Contamination   Strain heterogeneity  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  metabat.26      p__Cyanobacteria (UID2189)          82         579           450         10   566   3   0   0   0       97.78            0.67               0.00          
  contig_147      o__Cytophagales (UID2936)           47         454           336         9    438   7   0   0   0       97.62            1.64              14.29          
  metabat.37      o__Clostridiales (UID1120)         304         247           141        144    99   4   0   0   0       47.28            1.77               0.00          
  metabat.48         k__Bacteria (UID203)            5449        104            58         84    20   0   0   0   0       31.03            0.00               0.00          
  metabat.41        k__Bacteria (UID3060)            138         338           246        230   108   0   0   0   0       30.28            0.00               0.00          
  metabat.14         k__Bacteria (UID203)            5449        104            58         85    19   0   0   0   0       29.31            0.00               0.00          
  metabat.29   c__Deltaproteobacteria (UID3216)       83         247           155        169    77   1   0   0   0       28.18            0.13               0.00          
  metabat.61         k__Bacteria (UID203)            5449        104            58         87    17   0   0   0   0       23.28            0.00               0.00          
  metabat.62      o__Clostridiales (UID1212)         172         263           149        198    65   0   0   0   0       22.60            0.00               0.00          
  metabat.10         k__Bacteria (UID203)            5449        104            58         90    14   0   0   0   0       22.41            0.00               0.00          
  metabat.51         k__Bacteria (UID203)            5449        102            56         87    15   0   0   0   0       21.43            0.00               0.00          
  metabat.25     p__Proteobacteria (UID3061)         115         395           260        290   105   0   0   0   0       21.00            0.00               0.00          
  metabat.31        k__Bacteria (UID3060)            138         338           246        260    78   0   0   0   0       19.73            0.00               0.00          
  metabat.22   c__Deltaproteobacteria (UID3216)       83         247           155        190    57   0   0   0   0       18.53            0.00               0.00          
  metabat.16         k__Bacteria (UID203)            5449        104            58         93    11   0   0   0   0       17.24            0.00               0.00          
  metabat.44         k__Bacteria (UID203)            5449        104            58         88    16   0   0   0   0       14.97            0.00               0.00          
  metabat.7    c__Deltaproteobacteria (UID3218)       61         284           169        239    45   0   0   0   0       14.53            0.00               0.00          
  metabat.36         k__Bacteria (UID203)            5449        103            57         93    10   0   0   0   0       14.04            0.00               0.00          
  metabat.32   c__Deltaproteobacteria (UID3218)       61         284           169        219    64   1   0   0   0       13.77            0.02               0.00          
  metabat.13             root (UID1)                 5656         56            24         53    3    0   0   0   0       12.50            0.00               0.00          
  metabat.3         s__algicola (UID2846)             47         571           303        482    88   1   0   0   0       12.21            0.01               0.00          
  metabat.64         k__Bacteria (UID203)            5449        104            58         95    9    0   0   0   0       12.07            0.00               0.00          
